Trial_nr	Outputfile	Prime	Target	Condition	Pic_Present_Absent	Picture_Time	Button_Time	Button_Pressed	RT
1	16_CFS3_logfile.txt	Hersens	blank.jpg	noPic	absent	0	0	2	943
2	16_CFS3_logfile.txt	Fles	blank.jpg	noPic	absent	0	0	2	755
3	16_CFS3_logfile.txt	Hark	blank.jpg	noPic	absent	0	0	1	690
4	16_CFS3_logfile.txt	Pen	blank.jpg	noPic	absent	0	0	2	752
5	16_CFS3_logfile.txt	spuitje	blank.jpg	noPic	absent	0	0	2	1096
6	16_CFS3_logfile.txt	Vlinder	8_T_Bottle.jpg	incongruent	present	0	0	1	738
7	16_CFS3_logfile.txt	Zweep	29_T_Whip.jpg	congruent	present	0	0	2	781
8	16_CFS3_logfile.txt	Bonbon	blank.jpg	noPic	absent	0	0	2	1050
9	16_CFS3_logfile.txt	Zweep	29_T_Whip.jpg	congruent	present	0	0	1	706
10	16_CFS3_logfile.txt	Palm	51_Control.jpg	congruent	present	0	0	1	804
11	16_CFS3_logfile.txt	Vlinder	28_T_Butterfly.jpg	congruent	present	0	0	1	677
12	16_CFS3_logfile.txt	Bonbon	32_T_Hat.jpg	incongruent	present	0	0	1	881
13	16_CFS3_logfile.txt	Zweep	29_T_Whip.jpg	congruent	present	0	0	1	798
14	16_CFS3_logfile.txt	Hersens	blank.jpg	noPic	absent	0	0	2	776
15	16_CFS3_logfile.txt	Fles	12_T_Cushion.jpg	incongruent	present	0	0	2	868
16	16_CFS3_logfile.txt	Vlinder	blank.jpg	noPic	absent	0	0	2	1074
17	16_CFS3_logfile.txt	Hoed	32_T_Hat.jpg	congruent	present	0	0	1	478
18	16_CFS3_logfile.txt	Kraan	blank.jpg	noPic	absent	0	0	2	804
19	16_CFS3_logfile.txt	Kussen	12_T_Cushion.jpg	congruent	present	0	0	2	814
20	16_CFS3_logfile.txt	Raket	blank.jpg	noPic	absent	0	0	2	823
21	16_CFS3_logfile.txt	spuitje	49_T_Injection.jpg	congruent	present	0	0	2	1046
22	16_CFS3_logfile.txt	Fles	4_T_Ball.jpg	incongruent	present	0	0	1	493
23	16_CFS3_logfile.txt	Ball	blank.jpg	noPic	absent	0	0	2	822
24	16_CFS3_logfile.txt	Palm	blank.jpg	noPic	absent	0	0	1	929
25	16_CFS3_logfile.txt	Kussen	12_T_Cushion.jpg	congruent	present	0	0	2	629
26	16_CFS3_logfile.txt	Kraan	38_T_Hark.jpg	incongruent	present	0	0	2	652
27	16_CFS3_logfile.txt	Hark	blank.jpg	noPic	absent	0	0	2	781
28	16_CFS3_logfile.txt	Bonbon	52_T_Bonbon.jpg	congruent	present	0	0	1	564
29	16_CFS3_logfile.txt	Ball	blank.jpg	noPic	absent	0	0	2	2725
30	16_CFS3_logfile.txt	Hoed	blank.jpg	noPic	absent	0	0	1	489
31	16_CFS3_logfile.txt	Pen	39_T_Crane.jpg	incongruent	present	0	0	2	2541
32	16_CFS3_logfile.txt	Pen	blank.jpg	noPic	absent	0	0	1	1423
33	16_CFS3_logfile.txt	Hersens	28_T_Butterfly.jpg	incongruent	present	0	0	1	713
34	16_CFS3_logfile.txt	Hersens	30_S_Brain.jpg	congruent	present	0	0	1	521
35	16_CFS3_logfile.txt	spuitje	49_T_Injection.jpg	congruent	present	0	0	2	710
36	16_CFS3_logfile.txt	Spuitje	32_T_Hat.jpg	incongruent	present	0	0	1	489
37	16_CFS3_logfile.txt	Spuitje	blank.jpg	noPic	absent	0	0	2	750
38	16_CFS3_logfile.txt	Kraan	blank.jpg	noPic	absent	0	0	1	502
39	16_CFS3_logfile.txt	Hoed	blank.jpg	noPic	absent	0	0	2	589
40	16_CFS3_logfile.txt	Pen	blank.jpg	noPic	absent	0	0	1	632
41	16_CFS3_logfile.txt	Fles	blank.jpg	noPic	absent	0	0	2	719
42	16_CFS3_logfile.txt	Hark	blank.jpg	noPic	absent	0	0	2	572
43	16_CFS3_logfile.txt	Hersens	blank.jpg	noPic	absent	0	0	2	579
44	16_CFS3_logfile.txt	Hoed	blank.jpg	noPic	absent	0	0	2	688
45	16_CFS3_logfile.txt	Kraan	39_T_Crane.jpg	congruent	present	0	0	1	579
46	16_CFS3_logfile.txt	Fluit	blank.jpg	noPic	absent	0	0	2	528
47	16_CFS3_logfile.txt	Hoed	49_T_Injection.jpg	incongruent	present	0	0	1	577
48	16_CFS3_logfile.txt	Fles	blank.jpg	noPic	absent	0	0	2	675
49	16_CFS3_logfile.txt	Fles	blank.jpg	noPic	absent	0	0	2	542
50	16_CFS3_logfile.txt	Hark	38_T_Hark.jpg	congruent	present	0	0	1	647
51	16_CFS3_logfile.txt	Fluit	blank.jpg	noPic	absent	0	0	2	647
