Trial_nr	Outputfile	Prime	Target	Condition	Pic_Present_Absent	Picture_Time	Button_Time	Button_Pressed	RT
1	4_CFS3_logfile.txt	Kussen	blank.jpg	noPic	absent	0	0	1	1134
2	4_CFS3_logfile.txt	Kraan	blank.jpg	noPic	absent	0	0	1	1136
3	4_CFS3_logfile.txt	Hersens	blank.jpg	noPic	absent	0	0	2	860
4	4_CFS3_logfile.txt	Pen	blank.jpg	noPic	absent	0	0	2	930
5	4_CFS3_logfile.txt	Raket	blank.jpg	noPic	absent	0	0	2	1204
6	4_CFS3_logfile.txt	Raket	4_T_Ball.jpg	incongruent	present	0	0	1	761
7	4_CFS3_logfile.txt	Hoed	39_T_Crane.jpg	incongruent	present	0	0	2	873
8	4_CFS3_logfile.txt	Bonbon	blank.jpg	noPic	absent	0	0	1	886
9	4_CFS3_logfile.txt	Spuitje	blank.jpg	noPic	absent	0	0	2	814
10	4_CFS3_logfile.txt	Ball	blank.jpg	noPic	absent	0	0	2	898
11	4_CFS3_logfile.txt	Fluit	blank.jpg	noPic	absent	0	0	2	911
12	4_CFS3_logfile.txt	Fluit	36_T_Flute.jpg	congruent	present	0	0	2	973
13	4_CFS3_logfile.txt	Palm	blank.jpg	noPic	absent	0	0	2	855
14	4_CFS3_logfile.txt	Spuitje	blank.jpg	noPic	absent	0	0	1	726
15	4_CFS3_logfile.txt	Hark	blank.jpg	noPic	absent	0	0	2	778
16	4_CFS3_logfile.txt	Pen	50_T_Pen.jpg	congruent	present	0	0	1	678
17	4_CFS3_logfile.txt	Raket	blank.jpg	noPic	absent	0	0	2	769
18	4_CFS3_logfile.txt	Fluit	51_Control.jpg	incongruent	present	0	0	1	902
19	4_CFS3_logfile.txt	Raket	1_T_Banaan.jpg	incongruent	present	0	0	1	1189
20	4_CFS3_logfile.txt	Zweep	blank.jpg	noPic	absent	0	0	2	941
21	4_CFS3_logfile.txt	Hoed	blank.jpg	noPic	absent	0	0	2	951
22	4_CFS3_logfile.txt	spuitje	blank.jpg	noPic	absent	0	0	1	1004
23	4_CFS3_logfile.txt	Palm	blank.jpg	noPic	absent	0	0	1	907
24	4_CFS3_logfile.txt	Raket	blank.jpg	noPic	absent	0	0	2	1133
25	4_CFS3_logfile.txt	Hoed	blank.jpg	noPic	absent	0	0	2	1011
