Trial_nr	Outputfile	Prime	Target	Condition	Pic_Present_Absent	Picture_Time	Button_Time	Button_Pressed	RT
1	18_CFS3_logfile.txt	Raket	blank.jpg	noPic	absent	0	0	2	1465
2	18_CFS3_logfile.txt	Bonbon	blank.jpg	noPic	absent	0	0	2	1370
3	18_CFS3_logfile.txt	Zweep	blank.jpg	noPic	absent	0	0	1	1855
4	18_CFS3_logfile.txt	Kussen	12_T_Cushion.jpg	congruent	present	0	0	2	1050
5	18_CFS3_logfile.txt	Zweep	blank.jpg	noPic	absent	0	0	2	1479
6	18_CFS3_logfile.txt	Banaan	1_T_Banaan.jpg	congruent	present	0	0	1	1774
7	18_CFS3_logfile.txt	Hark	blank.jpg	noPic	absent	0	0	2	1455
8	18_CFS3_logfile.txt	Vlinder	blank.jpg	noPic	absent	0	0	2	1038
9	18_CFS3_logfile.txt	Fles	blank.jpg	noPic	absent	0	0	2	1852
10	18_CFS3_logfile.txt	Bonbon	blank.jpg	noPic	absent	0	0	2	1027
11	18_CFS3_logfile.txt	Ball	blank.jpg	noPic	absent	0	0	2	1007
12	18_CFS3_logfile.txt	Pen	39_T_Crane.jpg	incongruent	present	0	0	1	984
13	18_CFS3_logfile.txt	Zweep	8_T_Bottle.jpg	incongruent	present	0	0	2	2115
14	18_CFS3_logfile.txt	Hersens	30_S_Brain.jpg	congruent	present	0	0	1	719
15	18_CFS3_logfile.txt	Kraan	blank.jpg	noPic	absent	0	0	2	907
16	18_CFS3_logfile.txt	spuitje	49_T_Injection.jpg	congruent	present	0	0	2	1006
17	18_CFS3_logfile.txt	Vlinder	blank.jpg	noPic	absent	0	0	2	992
18	18_CFS3_logfile.txt	Zweep	29_T_Whip.jpg	congruent	present	0	0	2	883
19	18_CFS3_logfile.txt	Hark	blank.jpg	noPic	absent	0	0	2	1001
20	18_CFS3_logfile.txt	Banaan	blank.jpg	noPic	absent	0	0	2	1002
21	18_CFS3_logfile.txt	Banaan	blank.jpg	noPic	absent	0	0	2	1103
22	18_CFS3_logfile.txt	Pen	50_T_Pen.jpg	congruent	present	0	0	2	1088
23	18_CFS3_logfile.txt	Spuitje	36_T_Flute.jpg	incongruent	present	0	0	2	999
24	18_CFS3_logfile.txt	Fles	8_T_Bottle.jpg	congruent	present	0	0	2	1046
