Trial_nr	Outputfile	Prime	Target	Condition	Pic_Present_Absent	Picture_Time	Button_Time	Button_Pressed	RT
1	10_CFS3_logfile.txt	Hoed	32_T_Hat.jpg	congruent	present	0	0	1	1345
2	10_CFS3_logfile.txt	Raket	17_T_Rocket.jpg	congruent	present	0	0	1	1448
3	10_CFS3_logfile.txt	Raket	17_T_Rocket.jpg	congruent	present	0	0	1	592
4	10_CFS3_logfile.txt	spuitje	blank.jpg	noPic	absent	0	0	2	898
5	10_CFS3_logfile.txt	Bonbon	52_T_Bonbon.jpg	congruent	present	0	0	2	779
6	10_CFS3_logfile.txt	Pen	blank.jpg	noPic	absent	0	0	2	778
7	10_CFS3_logfile.txt	Banaan	1_T_Banaan.jpg	congruent	present	0	0	2	914
8	10_CFS3_logfile.txt	spuitje	blank.jpg	noPic	absent	0	0	2	744
9	10_CFS3_logfile.txt	Raket	blank.jpg	noPic	absent	0	0	2	916
10	10_CFS3_logfile.txt	Ball	4_T_Ball.jpg	congruent	present	0	0	1	540
11	10_CFS3_logfile.txt	Raket	17_T_Rocket.jpg	incongruent	present	0	0	1	839
12	10_CFS3_logfile.txt	Bonbon	blank.jpg	noPic	absent	0	0	2	574
13	10_CFS3_logfile.txt	Hersens	blank.jpg	noPic	absent	0	0	2	606
14	10_CFS3_logfile.txt	Fluit	blank.jpg	noPic	absent	0	0	2	852
15	10_CFS3_logfile.txt	Fles	blank.jpg	noPic	absent	0	0	2	798
16	10_CFS3_logfile.txt	Kussen	blank.jpg	noPic	absent	0	0	1	768
17	10_CFS3_logfile.txt	Palm	blank.jpg	noPic	absent	0	0	2	992
18	10_CFS3_logfile.txt	Banaan	blank.jpg	noPic	absent	0	0	2	739
19	10_CFS3_logfile.txt	Vlinder	blank.jpg	noPic	absent	0	0	1	1001
20	10_CFS3_logfile.txt	Spuitje	36_T_Flute.jpg	incongruent	present	0	0	2	881
21	10_CFS3_logfile.txt	spuitje	49_T_Injection.jpg	congruent	present	0	0	2	638
22	10_CFS3_logfile.txt	Kussen	blank.jpg	noPic	absent	0	0	2	1469
23	10_CFS3_logfile.txt	Hersens	30_S_Brain.jpg	congruent	present	0	0	2	1012
24	10_CFS3_logfile.txt	Fluit	blank.jpg	noPic	absent	0	0	2	714
25	10_CFS3_logfile.txt	Zweep	29_T_Whip.jpg	congruent	present	0	0	1	968
26	10_CFS3_logfile.txt	Kraan	52_T_Bonbon.jpg	incongruent	present	0	0	1	993
27	10_CFS3_logfile.txt	Palm	51_Control.jpg	congruent	present	0	0	1	770
28	10_CFS3_logfile.txt	Fles	blank.jpg	noPic	absent	0	0	2	856
29	10_CFS3_logfile.txt	Zweep	29_T_Whip.jpg	congruent	present	0	0	1	539
30	10_CFS3_logfile.txt	Hark	38_T_Hark.jpg	congruent	present	0	0	2	841
31	10_CFS3_logfile.txt	Bonbon	blank.jpg	noPic	absent	0	0	2	763
32	10_CFS3_logfile.txt	Raket	8_T_Bottle.jpg	incongruent	present	0	0	2	616
33	10_CFS3_logfile.txt	Palm	blank.jpg	noPic	absent	0	0	2	635
34	10_CFS3_logfile.txt	Kussen	12_T_Cushion.jpg	congruent	present	0	0	2	732
35	10_CFS3_logfile.txt	Bonbon	blank.jpg	noPic	absent	0	0	2	878
36	10_CFS3_logfile.txt	Kraan	blank.jpg	noPic	absent	0	0	2	850
