Trial_nr	Outputfile	Prime	Target	Condition	Pic_Present_Absent	Picture_Time	Button_Time	Button_Pressed	RT
1	17_CFS3_logfile.txt	Ball	blank.jpg	noPic	absent	0	0	2	1966
2	17_CFS3_logfile.txt	Hoed	blank.jpg	noPic	absent	0	0	2	1551
3	17_CFS3_logfile.txt	Kussen	17_T_Rocket.jpg	incongruent	present	0	0	2	1310
4	17_CFS3_logfile.txt	Vlinder	blank.jpg	noPic	absent	0	0	2	1683
5	17_CFS3_logfile.txt	Banaan	blank.jpg	noPic	absent	0	0	2	1144
6	17_CFS3_logfile.txt	Ball	4_T_Ball.jpg	congruent	present	0	0	2	1135
7	17_CFS3_logfile.txt	Pen	50_T_Pen.jpg	congruent	present	0	0	2	1189
8	17_CFS3_logfile.txt	Fluit	50_T_Pen.jpg	incongruent	present	0	0	2	915
9	17_CFS3_logfile.txt	Pen	39_T_Crane.jpg	incongruent	present	0	0	2	1065
10	17_CFS3_logfile.txt	Kussen	30_S_Brain.jpg	incongruent	present	0	0	2	1238
11	17_CFS3_logfile.txt	Hoed	36_T_Flute.jpg	incongruent	present	0	0	2	1184
12	17_CFS3_logfile.txt	Ball	blank.jpg	noPic	absent	0	0	2	1443
13	17_CFS3_logfile.txt	Hark	38_T_Hark.jpg	congruent	present	0	0	2	1193
14	17_CFS3_logfile.txt	Fluit	36_T_Flute.jpg	congruent	present	0	0	2	1373
15	17_CFS3_logfile.txt	Hersens	30_S_Brain.jpg	congruent	present	0	0	2	1246
16	17_CFS3_logfile.txt	Raket	17_T_Rocket.jpg	congruent	present	0	0	2	1365
17	17_CFS3_logfile.txt	Fles	8_T_Bottle.jpg	congruent	present	0	0	2	959
18	17_CFS3_logfile.txt	Ball	17_T_Rocket.jpg	incongruent	present	0	0	2	1172
19	17_CFS3_logfile.txt	Pen	49_T_Injection.jpg	incongruent	present	0	0	2	1031
20	17_CFS3_logfile.txt	Bonbon	blank.jpg	noPic	absent	0	0	2	1510
21	17_CFS3_logfile.txt	Pen	blank.jpg	noPic	absent	0	0	2	1419
22	17_CFS3_logfile.txt	Bonbon	blank.jpg	noPic	absent	0	0	2	1392
23	17_CFS3_logfile.txt	Banaan	1_T_Banaan.jpg	congruent	present	0	0	2	2124
24	17_CFS3_logfile.txt	Hersens	28_T_Butterfly.jpg	incongruent	present	0	0	1	936
25	17_CFS3_logfile.txt	Raket	17_T_Rocket.jpg	incongruent	present	0	0	2	1071
26	17_CFS3_logfile.txt	Raket	blank.jpg	noPic	absent	0	0	2	1889
27	17_CFS3_logfile.txt	Pen	52_T_Bonbon.jpg	incongruent	present	0	0	1	1243
28	17_CFS3_logfile.txt	Kussen	blank.jpg	noPic	absent	0	0	2	1319
29	17_CFS3_logfile.txt	Bonbon	blank.jpg	noPic	absent	0	0	2	1111
30	17_CFS3_logfile.txt	Hoed	blank.jpg	noPic	absent	0	0	2	1156
31	17_CFS3_logfile.txt	Hersens	blank.jpg	noPic	absent	0	0	2	1294
32	17_CFS3_logfile.txt	Vlinder	blank.jpg	noPic	absent	0	0	2	1337
33	17_CFS3_logfile.txt	Raket	17_T_Rocket.jpg	congruent	present	0	0	2	1153
34	17_CFS3_logfile.txt	Ball	blank.jpg	noPic	absent	0	0	2	1257
35	17_CFS3_logfile.txt	Vlinder	28_T_Butterfly.jpg	incongruent	present	0	0	1	1421
36	17_CFS3_logfile.txt	Vlinder	blank.jpg	noPic	absent	0	0	1	1214
37	17_CFS3_logfile.txt	Palm	51_Control.jpg	congruent	present	0	0	2	1390
38	17_CFS3_logfile.txt	Hark	blank.jpg	noPic	absent	0	0	2	1263
39	17_CFS3_logfile.txt	Fluit	blank.jpg	noPic	absent	0	0	1	1158
40	17_CFS3_logfile.txt	Kussen	blank.jpg	noPic	absent	0	0	2	1362
41	17_CFS3_logfile.txt	Pen	50_T_Pen.jpg	congruent	present	0	0	2	998
42	17_CFS3_logfile.txt	Kussen	blank.jpg	noPic	absent	0	0	2	1118
