Trial_nr	Outputfile	Prime	Target	Condition	Pic_Present_Absent	Picture_Time	Button_Time	Button_Pressed	RT
1	11_CFS3_logfile.txt	Kussen	12_T_Cushion.jpg	congruent	present	0	0	2	858
2	11_CFS3_logfile.txt	Hoed	32_T_Hat.jpg	congruent	present	0	0	2	979
3	11_CFS3_logfile.txt	Fluit	32_T_Hat.jpg	incongruent	present	0	0	2	1151
4	11_CFS3_logfile.txt	Zweep	1_T_Banaan.jpg	incongruent	present	0	0	1	785
5	11_CFS3_logfile.txt	Raket	12_T_Cushion.jpg	incongruent	present	0	0	2	686
6	11_CFS3_logfile.txt	Zweep	blank.jpg	noPic	absent	0	0	2	738
7	11_CFS3_logfile.txt	Palm	51_Control.jpg	congruent	present	0	0	2	915
8	11_CFS3_logfile.txt	Fles	30_S_Brain.jpg	incongruent	present	0	0	1	1067
9	11_CFS3_logfile.txt	Raket	17_T_Rocket.jpg	congruent	present	0	0	2	1013
10	11_CFS3_logfile.txt	Palm	blank.jpg	noPic	absent	0	0	2	1321
11	11_CFS3_logfile.txt	spuitje	blank.jpg	noPic	absent	0	0	1	1255
12	11_CFS3_logfile.txt	Fles	8_T_Bottle.jpg	congruent	present	0	0	2	1095
13	11_CFS3_logfile.txt	Zweep	blank.jpg	noPic	absent	0	0	2	1529
14	11_CFS3_logfile.txt	Pen	52_T_Bonbon.jpg	incongruent	present	0	0	1	1351
15	11_CFS3_logfile.txt	Ball	8_T_Bottle.jpg	incongruent	present	0	0	2	797
16	11_CFS3_logfile.txt	Ball	blank.jpg	noPic	absent	0	0	2	973
17	11_CFS3_logfile.txt	Zweep	blank.jpg	noPic	absent	0	0	1	717
18	11_CFS3_logfile.txt	Fluit	51_Control.jpg	incongruent	present	0	0	2	929
19	11_CFS3_logfile.txt	Bonbon	blank.jpg	noPic	absent	0	0	2	863
20	11_CFS3_logfile.txt	Hersens	blank.jpg	noPic	absent	0	0	1	753
21	11_CFS3_logfile.txt	Vlinder	blank.jpg	noPic	absent	0	0	2	893
22	11_CFS3_logfile.txt	Vlinder	29_T_Whip.jpg	incongruent	present	0	0	2	948
23	11_CFS3_logfile.txt	Bonbon	blank.jpg	noPic	absent	0	0	2	992
24	11_CFS3_logfile.txt	Palm	52_T_Bonbon.jpg	incongruent	present	0	0	1	1661
25	11_CFS3_logfile.txt	Hark	blank.jpg	noPic	absent	0	0	1	1148
26	11_CFS3_logfile.txt	Vlinder	28_T_Butterfly.jpg	congruent	present	0	0	1	848
27	11_CFS3_logfile.txt	Hark	38_T_Hark.jpg	congruent	present	0	0	2	881
28	11_CFS3_logfile.txt	Hark	39_T_Crane.jpg	incongruent	present	0	0	2	915
29	11_CFS3_logfile.txt	Hersens	28_T_Butterfly.jpg	incongruent	present	0	0	1	827
30	11_CFS3_logfile.txt	Banaan	29_T_Whip.jpg	incongruent	present	0	0	2	904
31	11_CFS3_logfile.txt	Vlinder	blank.jpg	noPic	absent	0	0	2	1260
32	11_CFS3_logfile.txt	Vlinder	28_T_Butterfly.jpg	incongruent	present	0	0	2	1459
33	11_CFS3_logfile.txt	Hark	38_T_Hark.jpg	congruent	present	0	0	1	860
34	11_CFS3_logfile.txt	Kussen	blank.jpg	noPic	absent	0	0	2	698
35	11_CFS3_logfile.txt	Hark	38_T_Hark.jpg	congruent	present	0	0	2	782
36	11_CFS3_logfile.txt	Hoed	39_T_Crane.jpg	incongruent	present	0	0	2	1079
37	11_CFS3_logfile.txt	Vlinder	blank.jpg	noPic	absent	0	0	2	1457
38	11_CFS3_logfile.txt	Raket	blank.jpg	noPic	absent	0	0	2	1637
39	11_CFS3_logfile.txt	Raket	blank.jpg	noPic	absent	0	0	2	1275
40	11_CFS3_logfile.txt	Bonbon	52_T_Bonbon.jpg	congruent	present	0	0	2	968
41	11_CFS3_logfile.txt	Banaan	28_T_Butterfly.jpg	incongruent	present	0	0	1	1168
42	11_CFS3_logfile.txt	Raket	blank.jpg	noPic	absent	0	0	1	1606
43	11_CFS3_logfile.txt	Hark	blank.jpg	noPic	absent	0	0	2	746
44	11_CFS3_logfile.txt	Vlinder	30_S_Brain.jpg	incongruent	present	0	0	1	1502
45	11_CFS3_logfile.txt	Zweep	29_T_Whip.jpg	congruent	present	0	0	1	1071
