Trial_nr	Outputfile	Prime	Target	Condition	Pic_Present_Absent	Picture_Time	Button_Time	Button_Pressed	RT
1	2_CFS3_logfile.txt	Kussen	12_T_Cushion.jpg	congruent	present	0	0	1	1541
2	2_CFS3_logfile.txt	Fluit	36_T_Flute.jpg	congruent	present	0	0	2	1570
3	2_CFS3_logfile.txt	Spuitje	32_T_Hat.jpg	incongruent	present	0	0	2	2085
4	2_CFS3_logfile.txt	Bonbon	52_T_Bonbon.jpg	congruent	present	0	0	2	2191
5	2_CFS3_logfile.txt	Pen	blank.jpg	noPic	absent	0	0	2	1717
6	2_CFS3_logfile.txt	Vlinder	blank.jpg	noPic	absent	0	0	2	1964
7	2_CFS3_logfile.txt	Bonbon	blank.jpg	noPic	absent	0	0	1	1503
8	2_CFS3_logfile.txt	Hoed	32_T_Hat.jpg	congruent	present	0	0	2	1233
9	2_CFS3_logfile.txt	Zweep	8_T_Bottle.jpg	incongruent	present	0	0	2	1974
10	2_CFS3_logfile.txt	Raket	blank.jpg	noPic	absent	0	0	2	1060
11	2_CFS3_logfile.txt	spuitje	blank.jpg	noPic	absent	0	0	1	1080
12	2_CFS3_logfile.txt	Ball	8_T_Bottle.jpg	incongruent	present	0	0	2	1175
13	2_CFS3_logfile.txt	Hark	38_T_Hark.jpg	congruent	present	0	0	2	1239
14	2_CFS3_logfile.txt	Hersens	blank.jpg	noPic	absent	0	0	2	1494
15	2_CFS3_logfile.txt	Zweep	blank.jpg	noPic	absent	0	0	2	1616
16	2_CFS3_logfile.txt	Vlinder	blank.jpg	noPic	absent	0	0	2	1891
17	2_CFS3_logfile.txt	Hark	blank.jpg	noPic	absent	0	0	2	2441
18	2_CFS3_logfile.txt	Kraan	blank.jpg	noPic	absent	0	0	2	1464
19	2_CFS3_logfile.txt	Fles	blank.jpg	noPic	absent	0	0	2	1198
20	2_CFS3_logfile.txt	Fluit	blank.jpg	noPic	absent	0	0	2	2282
21	2_CFS3_logfile.txt	Hark	blank.jpg	noPic	absent	0	0	1	1173
22	2_CFS3_logfile.txt	Fluit	blank.jpg	noPic	absent	0	0	2	1537
23	2_CFS3_logfile.txt	Banaan	4_T_Ball.jpg	incongruent	present	0	0	1	1439
24	2_CFS3_logfile.txt	Hersens	17_T_Rocket.jpg	incongruent	present	0	0	1	1121
25	2_CFS3_logfile.txt	Zweep	29_T_Whip.jpg	congruent	present	0	0	2	1421
26	2_CFS3_logfile.txt	Ball	blank.jpg	noPic	absent	0	0	1	2205
27	2_CFS3_logfile.txt	Kraan	39_T_Crane.jpg	congruent	present	0	0	1	1009
28	2_CFS3_logfile.txt	Hersens	blank.jpg	noPic	absent	0	0	2	1072
29	2_CFS3_logfile.txt	Hoed	blank.jpg	noPic	absent	0	0	2	1269
30	2_CFS3_logfile.txt	spuitje	49_T_Injection.jpg	congruent	present	0	0	1	1504
31	2_CFS3_logfile.txt	Zweep	29_T_Whip.jpg	congruent	present	0	0	1	1280
32	2_CFS3_logfile.txt	Kraan	50_T_Pen.jpg	incongruent	present	0	0	2	1107
33	2_CFS3_logfile.txt	Hark	36_T_Flute.jpg	incongruent	present	0	0	2	2574
34	2_CFS3_logfile.txt	Vlinder	blank.jpg	noPic	absent	0	0	2	1105
35	2_CFS3_logfile.txt	Hersens	blank.jpg	noPic	absent	0	0	2	1498
36	2_CFS3_logfile.txt	Fluit	36_T_Flute.jpg	congruent	present	0	0	1	1438
37	2_CFS3_logfile.txt	Hoed	blank.jpg	noPic	absent	0	0	2	2055
38	2_CFS3_logfile.txt	Vlinder	blank.jpg	noPic	absent	0	0	2	1275
39	2_CFS3_logfile.txt	Ball	17_T_Rocket.jpg	incongruent	present	0	0	2	1599
40	2_CFS3_logfile.txt	Palm	blank.jpg	noPic	absent	0	0	2	1452
41	2_CFS3_logfile.txt	Palm	blank.jpg	noPic	absent	0	0	2	2416
42	2_CFS3_logfile.txt	Hark	38_T_Hark.jpg	congruent	present	0	0	1	1261
43	2_CFS3_logfile.txt	Pen	52_T_Bonbon.jpg	incongruent	present	0	0	2	1180
44	2_CFS3_logfile.txt	Hersens	blank.jpg	noPic	absent	0	0	2	1320
45	2_CFS3_logfile.txt	Kraan	39_T_Crane.jpg	congruent	present	0	0	2	1729
46	2_CFS3_logfile.txt	Hersens	29_T_Whip.jpg	incongruent	present	0	0	1	1614
47	2_CFS3_logfile.txt	Bonbon	36_T_Flute.jpg	incongruent	present	0	0	1	1602
48	2_CFS3_logfile.txt	Palm	52_T_Bonbon.jpg	incongruent	present	0	0	1	1396
49	2_CFS3_logfile.txt	Kraan	39_T_Crane.jpg	congruent	present	0	0	2	1624
50	2_CFS3_logfile.txt	Kraan	blank.jpg	noPic	absent	0	0	2	1358
51	2_CFS3_logfile.txt	Ball	1_T_Banaan.jpg	incongruent	present	0	0	2	1159
52	2_CFS3_logfile.txt	Kussen	17_T_Rocket.jpg	incongruent	present	0	0	2	1949
53	2_CFS3_logfile.txt	Kussen	blank.jpg	noPic	absent	0	0	2	1169
54	2_CFS3_logfile.txt	Hark	blank.jpg	noPic	absent	0	0	2	1487
55	2_CFS3_logfile.txt	Vlinder	blank.jpg	noPic	absent	0	0	2	1086
56	2_CFS3_logfile.txt	Banaan	blank.jpg	noPic	absent	0	0	2	1063
57	2_CFS3_logfile.txt	Ball	blank.jpg	noPic	absent	0	0	2	1046
58	2_CFS3_logfile.txt	Hark	blank.jpg	noPic	absent	0	0	2	1337
59	2_CFS3_logfile.txt	Kussen	blank.jpg	noPic	absent	0	0	2	1457
60	2_CFS3_logfile.txt	Hersens	blank.jpg	noPic	absent	0	0	2	1478
61	2_CFS3_logfile.txt	Kussen	12_T_Cushion.jpg	congruent	present	0	0	2	1826
62	2_CFS3_logfile.txt	Raket	blank.jpg	noPic	absent	0	0	2	1167
63	2_CFS3_logfile.txt	Pen	39_T_Crane.jpg	incongruent	present	0	0	1	1197
64	2_CFS3_logfile.txt	Fluit	51_Control.jpg	incongruent	present	0	0	1	1282
65	2_CFS3_logfile.txt	Raket	17_T_Rocket.jpg	congruent	present	0	0	2	1351
66	2_CFS3_logfile.txt	Fles	blank.jpg	noPic	absent	0	0	2	976
67	2_CFS3_logfile.txt	Fles	1_T_Banaan.jpg	incongruent	present	0	0	2	1137
68	2_CFS3_logfile.txt	Raket	17_T_Rocket.jpg	congruent	present	0	0	2	1214
69	2_CFS3_logfile.txt	Fluit	52_T_Bonbon.jpg	incongruent	present	0	0	1	1909
70	2_CFS3_logfile.txt	Raket	blank.jpg	noPic	absent	0	0	2	1126
71	2_CFS3_logfile.txt	Palm	blank.jpg	noPic	absent	0	0	2	1143
72	2_CFS3_logfile.txt	Palm	blank.jpg	noPic	absent	0	0	2	1140
73	2_CFS3_logfile.txt	Hoed	36_T_Flute.jpg	incongruent	present	0	0	1	1398
74	2_CFS3_logfile.txt	Bonbon	blank.jpg	noPic	absent	0	0	2	858
75	2_CFS3_logfile.txt	Fles	30_S_Brain.jpg	incongruent	present	0	0	1	1522
76	2_CFS3_logfile.txt	Zweep	blank.jpg	noPic	absent	0	0	2	1531
77	2_CFS3_logfile.txt	Pen	blank.jpg	noPic	absent	0	0	2	985
78	2_CFS3_logfile.txt	Ball	blank.jpg	noPic	absent	0	0	2	1150
79	2_CFS3_logfile.txt	Banaan	blank.jpg	noPic	absent	0	0	2	1236
80	2_CFS3_logfile.txt	Hoed	32_T_Hat.jpg	congruent	present	0	0	1	967
81	2_CFS3_logfile.txt	Fles	12_T_Cushion.jpg	incongruent	present	0	0	1	2473
82	2_CFS3_logfile.txt	Fles	4_T_Ball.jpg	incongruent	present	0	0	1	1102
83	2_CFS3_logfile.txt	Pen	blank.jpg	noPic	absent	0	0	2	1442
84	2_CFS3_logfile.txt	Bonbon	blank.jpg	noPic	absent	0	0	2	1119
85	2_CFS3_logfile.txt	Pen	blank.jpg	noPic	absent	0	0	2	859
86	2_CFS3_logfile.txt	Hark	32_T_Hat.jpg	incongruent	present	0	0	1	1104
87	2_CFS3_logfile.txt	Palm	38_T_Hark.jpg	incongruent	present	0	0	2	1036
88	2_CFS3_logfile.txt	Banaan	28_T_Butterfly.jpg	incongruent	present	0	0	2	1730
89	2_CFS3_logfile.txt	Spuitje	38_T_Hark.jpg	incongruent	present	0	0	2	1626
90	2_CFS3_logfile.txt	Kraan	blank.jpg	noPic	absent	0	0	2	1311
91	2_CFS3_logfile.txt	Palm	blank.jpg	noPic	absent	0	0	2	1226
92	2_CFS3_logfile.txt	Ball	4_T_Ball.jpg	congruent	present	0	0	1	1566
93	2_CFS3_logfile.txt	Fles	8_T_Bottle.jpg	congruent	present	0	0	1	1501
94	2_CFS3_logfile.txt	Fluit	blank.jpg	noPic	absent	0	0	2	1881
95	2_CFS3_logfile.txt	Hersens	28_T_Butterfly.jpg	incongruent	present	0	0	2	1782
96	2_CFS3_logfile.txt	Ball	blank.jpg	noPic	absent	0	0	1	1953
