Trial_nr	Outputfile	Prime	Target	Condition	Pic_Present_Absent	Picture_Time	Button_Time	Button_Pressed	RT
1	28_CFS3_logfile.txt	Pen	50_T_Pen.jpg	congruent	present	0	0	2	3398
2	28_CFS3_logfile.txt	Fles	blank.jpg	noPic	absent	0	0	2	2770
3	28_CFS3_logfile.txt	Kraan	blank.jpg	noPic	absent	0	0	2	3456
4	28_CFS3_logfile.txt	Raket	17_T_Rocket.jpg	congruent	present	0	0	2	4201
5	28_CFS3_logfile.txt	Pen	50_T_Pen.jpg	congruent	present	0	0	2	3535
6	28_CFS3_logfile.txt	Banaan	blank.jpg	noPic	absent	0	0	2	3724
7	28_CFS3_logfile.txt	Fluit	blank.jpg	noPic	absent	0	0	2	3310
8	28_CFS3_logfile.txt	Pen	blank.jpg	noPic	absent	0	0	2	3762
9	28_CFS3_logfile.txt	Kussen	30_S_Brain.jpg	incongruent	present	0	0	1	1887
10	28_CFS3_logfile.txt	Palm	blank.jpg	noPic	absent	0	0	2	2398
11	28_CFS3_logfile.txt	Hark	36_T_Flute.jpg	incongruent	present	0	0	2	2767
12	28_CFS3_logfile.txt	Fluit	blank.jpg	noPic	absent	0	0	2	2634
13	28_CFS3_logfile.txt	Bonbon	51_Control.jpg	incongruent	present	0	0	1	1508
14	28_CFS3_logfile.txt	Kussen	blank.jpg	noPic	absent	0	0	2	2250
15	28_CFS3_logfile.txt	Banaan	1_T_Banaan.jpg	congruent	present	0	0	2	2898
16	28_CFS3_logfile.txt	Banaan	1_T_Banaan.jpg	congruent	present	0	0	2	1786
17	28_CFS3_logfile.txt	Fles	8_T_Bottle.jpg	congruent	present	0	0	2	1989
18	28_CFS3_logfile.txt	spuitje	49_T_Injection.jpg	congruent	present	0	0	2	2587
19	28_CFS3_logfile.txt	Hersens	30_S_Brain.jpg	congruent	present	0	0	1	2217
20	28_CFS3_logfile.txt	Ball	blank.jpg	noPic	absent	0	0	2	1719
21	28_CFS3_logfile.txt	Spuitje	blank.jpg	noPic	absent	0	0	2	1885
22	28_CFS3_logfile.txt	Hersens	30_S_Brain.jpg	congruent	present	0	0	1	1881
23	28_CFS3_logfile.txt	Fluit	blank.jpg	noPic	absent	0	0	2	2177
24	28_CFS3_logfile.txt	Ball	blank.jpg	noPic	absent	0	0	2	1675
25	28_CFS3_logfile.txt	Hersens	blank.jpg	noPic	absent	0	0	2	1817
26	28_CFS3_logfile.txt	Bonbon	52_T_Bonbon.jpg	congruent	present	0	0	1	1773
27	28_CFS3_logfile.txt	Zweep	blank.jpg	noPic	absent	0	0	2	1814
28	28_CFS3_logfile.txt	Banaan	1_T_Banaan.jpg	congruent	present	0	0	2	1957
29	28_CFS3_logfile.txt	Ball	blank.jpg	noPic	absent	0	0	2	1722
30	28_CFS3_logfile.txt	Hark	blank.jpg	noPic	absent	0	0	2	1804
31	28_CFS3_logfile.txt	Ball	17_T_Rocket.jpg	incongruent	present	0	0	2	1936
32	28_CFS3_logfile.txt	Pen	blank.jpg	noPic	absent	0	0	2	2123
33	28_CFS3_logfile.txt	Hark	38_T_Hark.jpg	congruent	present	0	0	2	2284
34	28_CFS3_logfile.txt	Raket	blank.jpg	noPic	absent	0	0	2	2479
35	28_CFS3_logfile.txt	Bonbon	blank.jpg	noPic	absent	0	0	2	2238
36	28_CFS3_logfile.txt	Bonbon	52_T_Bonbon.jpg	congruent	present	0	0	1	1274
37	28_CFS3_logfile.txt	Hoed	blank.jpg	noPic	absent	0	0	2	1687
38	28_CFS3_logfile.txt	Hersens	blank.jpg	noPic	absent	0	0	2	1427
39	28_CFS3_logfile.txt	Fluit	36_T_Flute.jpg	congruent	present	0	0	2	1818
40	28_CFS3_logfile.txt	Vlinder	29_T_Whip.jpg	incongruent	present	0	0	2	1721
41	28_CFS3_logfile.txt	Ball	4_T_Ball.jpg	congruent	present	0	0	1	1190
42	28_CFS3_logfile.txt	Kraan	blank.jpg	noPic	absent	0	0	2	1105
43	28_CFS3_logfile.txt	Spuitje	32_T_Hat.jpg	incongruent	present	0	0	1	1562
44	28_CFS3_logfile.txt	Kussen	12_T_Cushion.jpg	congruent	present	0	0	2	1410
45	28_CFS3_logfile.txt	Spuitje	blank.jpg	noPic	absent	0	0	2	1619
46	28_CFS3_logfile.txt	Banaan	blank.jpg	noPic	absent	0	0	2	1439
47	28_CFS3_logfile.txt	Kussen	blank.jpg	noPic	absent	0	0	2	1952
48	28_CFS3_logfile.txt	Vlinder	blank.jpg	noPic	absent	0	0	2	1942
49	28_CFS3_logfile.txt	Kraan	blank.jpg	noPic	absent	0	0	2	1907
50	28_CFS3_logfile.txt	Banaan	blank.jpg	noPic	absent	0	0	2	2090
51	28_CFS3_logfile.txt	Ball	4_T_Ball.jpg	congruent	present	0	0	1	1406
52	28_CFS3_logfile.txt	Fles	4_T_Ball.jpg	incongruent	present	0	0	2	1775
53	28_CFS3_logfile.txt	Fluit	blank.jpg	noPic	absent	0	0	2	1514
54	28_CFS3_logfile.txt	Zweep	29_T_Whip.jpg	congruent	present	0	0	2	1809
55	28_CFS3_logfile.txt	Kraan	39_T_Crane.jpg	congruent	present	0	0	1	1398
56	28_CFS3_logfile.txt	Pen	blank.jpg	noPic	absent	0	0	2	1565
57	28_CFS3_logfile.txt	Hoed	38_T_Hark.jpg	incongruent	present	0	0	2	2098
58	28_CFS3_logfile.txt	Fles	blank.jpg	noPic	absent	0	0	2	2412
59	28_CFS3_logfile.txt	Hersens	blank.jpg	noPic	absent	0	0	2	1548
60	28_CFS3_logfile.txt	spuitje	blank.jpg	noPic	absent	0	0	2	2355
61	28_CFS3_logfile.txt	Hark	38_T_Hark.jpg	congruent	present	0	0	2	2012
62	28_CFS3_logfile.txt	Hoed	49_T_Injection.jpg	incongruent	present	0	0	2	2425
63	28_CFS3_logfile.txt	Kraan	blank.jpg	noPic	absent	0	0	1	2608
64	28_CFS3_logfile.txt	Kraan	blank.jpg	noPic	absent	0	0	2	1472
65	28_CFS3_logfile.txt	Kraan	52_T_Bonbon.jpg	incongruent	present	0	0	2	1432
66	28_CFS3_logfile.txt	Ball	blank.jpg	noPic	absent	0	0	2	1937
67	28_CFS3_logfile.txt	Vlinder	28_T_Butterfly.jpg	congruent	present	0	0	2	2517
68	28_CFS3_logfile.txt	Hersens	blank.jpg	noPic	absent	0	0	2	2342
69	28_CFS3_logfile.txt	Fluit	blank.jpg	noPic	absent	0	0	2	1429
70	28_CFS3_logfile.txt	Zweep	blank.jpg	noPic	absent	0	0	2	1658
71	28_CFS3_logfile.txt	Palm	51_Control.jpg	congruent	present	0	0	1	947
72	28_CFS3_logfile.txt	Vlinder	8_T_Bottle.jpg	incongruent	present	0	0	2	1332
73	28_CFS3_logfile.txt	Raket	blank.jpg	noPic	absent	0	0	2	1991
74	28_CFS3_logfile.txt	Kussen	29_T_Whip.jpg	incongruent	present	0	0	2	1821
75	28_CFS3_logfile.txt	Hark	38_T_Hark.jpg	congruent	present	0	0	2	1879
76	28_CFS3_logfile.txt	Fles	blank.jpg	noPic	absent	0	0	2	1610
77	28_CFS3_logfile.txt	Vlinder	28_T_Butterfly.jpg	congruent	present	0	0	2	2448
78	28_CFS3_logfile.txt	Kussen	17_T_Rocket.jpg	incongruent	present	0	0	2	1792
79	28_CFS3_logfile.txt	Bonbon	blank.jpg	noPic	absent	0	0	2	2079
80	28_CFS3_logfile.txt	Ball	blank.jpg	noPic	absent	0	0	2	1746
81	28_CFS3_logfile.txt	Kraan	38_T_Hark.jpg	incongruent	present	0	0	1	1224
82	28_CFS3_logfile.txt	Palm	50_T_Pen.jpg	incongruent	present	0	0	2	1044
83	28_CFS3_logfile.txt	Spuitje	38_T_Hark.jpg	incongruent	present	0	0	2	1480
84	28_CFS3_logfile.txt	Vlinder	blank.jpg	noPic	absent	0	0	2	1953
85	28_CFS3_logfile.txt	Zweep	blank.jpg	noPic	absent	0	0	2	2262
