Trial_nr	Outputfile	Prime	Target	Condition	Pic_Present_Absent	Picture_Time	Button_Time	Button_Pressed	RT
1	15_CFS3_logfile.txt	Raket	8_T_Bottle.jpg	incongruent	present	0	0	2	1910
2	15_CFS3_logfile.txt	Hark	blank.jpg	noPic	absent	0	0	2	990
3	15_CFS3_logfile.txt	Hersens	blank.jpg	noPic	absent	0	0	2	1073
4	15_CFS3_logfile.txt	Banaan	1_T_Banaan.jpg	congruent	present	0	0	1	614
5	15_CFS3_logfile.txt	Raket	4_T_Ball.jpg	incongruent	present	0	0	1	715
6	15_CFS3_logfile.txt	Raket	12_T_Cushion.jpg	incongruent	present	0	0	1	640
7	15_CFS3_logfile.txt	Kussen	12_T_Cushion.jpg	congruent	present	0	0	1	570
8	15_CFS3_logfile.txt	Banaan	1_T_Banaan.jpg	congruent	present	0	0	1	504
9	15_CFS3_logfile.txt	Banaan	blank.jpg	noPic	absent	0	0	2	703
10	15_CFS3_logfile.txt	Pen	52_T_Bonbon.jpg	incongruent	present	0	0	2	766
11	15_CFS3_logfile.txt	Bonbon	blank.jpg	noPic	absent	0	0	2	558
12	15_CFS3_logfile.txt	Hersens	30_S_Brain.jpg	congruent	present	0	0	2	595
13	15_CFS3_logfile.txt	Ball	blank.jpg	noPic	absent	0	0	1	639
14	15_CFS3_logfile.txt	Ball	17_T_Rocket.jpg	incongruent	present	0	0	1	575
15	15_CFS3_logfile.txt	Zweep	1_T_Banaan.jpg	incongruent	present	0	0	2	600
16	15_CFS3_logfile.txt	Raket	blank.jpg	noPic	absent	0	0	2	885
17	15_CFS3_logfile.txt	Hoed	blank.jpg	noPic	absent	0	0	2	1175
18	15_CFS3_logfile.txt	Raket	17_T_Rocket.jpg	congruent	present	0	0	1	659
19	15_CFS3_logfile.txt	Spuitje	blank.jpg	noPic	absent	0	0	2	666
20	15_CFS3_logfile.txt	Fluit	blank.jpg	noPic	absent	0	0	2	644
21	15_CFS3_logfile.txt	Kussen	12_T_Cushion.jpg	congruent	present	0	0	2	481
22	15_CFS3_logfile.txt	Banaan	28_T_Butterfly.jpg	incongruent	present	0	0	1	687
23	15_CFS3_logfile.txt	Ball	4_T_Ball.jpg	congruent	present	0	0	1	496
24	15_CFS3_logfile.txt	Kussen	12_T_Cushion.jpg	congruent	present	0	0	2	685
25	15_CFS3_logfile.txt	Kraan	50_T_Pen.jpg	incongruent	present	0	0	2	583
26	15_CFS3_logfile.txt	Kussen	blank.jpg	noPic	absent	0	0	2	549
27	15_CFS3_logfile.txt	Hersens	blank.jpg	noPic	absent	0	0	2	558
28	15_CFS3_logfile.txt	Palm	blank.jpg	noPic	absent	0	0	2	546
29	15_CFS3_logfile.txt	Fles	blank.jpg	noPic	absent	0	0	2	515
30	15_CFS3_logfile.txt	Fles	blank.jpg	noPic	absent	0	0	2	509
31	15_CFS3_logfile.txt	Hoed	blank.jpg	noPic	absent	0	0	2	2034
32	15_CFS3_logfile.txt	Hark	49_T_Injection.jpg	incongruent	present	0	0	2	584
33	15_CFS3_logfile.txt	Banaan	29_T_Whip.jpg	incongruent	present	0	0	2	647
34	15_CFS3_logfile.txt	Bonbon	blank.jpg	noPic	absent	0	0	2	592
35	15_CFS3_logfile.txt	Pen	50_T_Pen.jpg	congruent	present	0	0	2	499
36	15_CFS3_logfile.txt	Vlinder	28_T_Butterfly.jpg	congruent	present	0	0	1	711
37	15_CFS3_logfile.txt	Fles	blank.jpg	noPic	absent	0	0	2	513
38	15_CFS3_logfile.txt	Hoed	blank.jpg	noPic	absent	0	0	2	560
39	15_CFS3_logfile.txt	Hoed	blank.jpg	noPic	absent	0	0	2	521
40	15_CFS3_logfile.txt	Banaan	4_T_Ball.jpg	incongruent	present	0	0	1	497
41	15_CFS3_logfile.txt	Palm	blank.jpg	noPic	absent	0	0	2	1605
42	15_CFS3_logfile.txt	Kussen	blank.jpg	noPic	absent	0	0	2	584
43	15_CFS3_logfile.txt	Banaan	blank.jpg	noPic	absent	0	0	2	583
44	15_CFS3_logfile.txt	Hark	38_T_Hark.jpg	congruent	present	0	0	2	669
45	15_CFS3_logfile.txt	Zweep	29_T_Whip.jpg	congruent	present	0	0	1	528
46	15_CFS3_logfile.txt	Kraan	51_Control.jpg	incongruent	present	0	0	1	647
47	15_CFS3_logfile.txt	Kraan	39_T_Crane.jpg	congruent	present	0	0	2	694
48	15_CFS3_logfile.txt	Ball	blank.jpg	noPic	absent	0	0	2	577
49	15_CFS3_logfile.txt	spuitje	blank.jpg	noPic	absent	0	0	2	667
50	15_CFS3_logfile.txt	spuitje	blank.jpg	noPic	absent	0	0	2	697
51	15_CFS3_logfile.txt	Zweep	blank.jpg	noPic	absent	0	0	2	719
52	15_CFS3_logfile.txt	Kraan	blank.jpg	noPic	absent	0	0	2	650
53	15_CFS3_logfile.txt	Vlinder	28_T_Butterfly.jpg	congruent	present	0	0	1	614
54	15_CFS3_logfile.txt	Ball	4_T_Ball.jpg	congruent	present	0	0	1	569
55	15_CFS3_logfile.txt	Kussen	29_T_Whip.jpg	incongruent	present	0	0	1	533
56	15_CFS3_logfile.txt	Kraan	blank.jpg	noPic	absent	0	0	2	557
57	15_CFS3_logfile.txt	Pen	blank.jpg	noPic	absent	0	0	1	507
58	15_CFS3_logfile.txt	Hoed	blank.jpg	noPic	absent	0	0	1	745
59	15_CFS3_logfile.txt	Hark	32_T_Hat.jpg	incongruent	present	0	0	1	619
60	15_CFS3_logfile.txt	Ball	4_T_Ball.jpg	congruent	present	0	0	1	461
61	15_CFS3_logfile.txt	Fluit	blank.jpg	noPic	absent	0	0	1	531
62	15_CFS3_logfile.txt	Hark	38_T_Hark.jpg	congruent	present	0	0	2	1525
63	15_CFS3_logfile.txt	Bonbon	blank.jpg	noPic	absent	0	0	2	650
64	15_CFS3_logfile.txt	Bonbon	52_T_Bonbon.jpg	congruent	present	0	0	2	722
65	15_CFS3_logfile.txt	Banaan	1_T_Banaan.jpg	congruent	present	0	0	1	616
66	15_CFS3_logfile.txt	Vlinder	28_T_Butterfly.jpg	incongruent	present	0	0	1	662
67	15_CFS3_logfile.txt	Kraan	blank.jpg	noPic	absent	0	0	2	697
68	15_CFS3_logfile.txt	Vlinder	blank.jpg	noPic	absent	0	0	2	644
69	15_CFS3_logfile.txt	Raket	1_T_Banaan.jpg	incongruent	present	0	0	1	736
70	15_CFS3_logfile.txt	Bonbon	blank.jpg	noPic	absent	0	0	2	647
71	15_CFS3_logfile.txt	Raket	17_T_Rocket.jpg	congruent	present	0	0	2	638
72	15_CFS3_logfile.txt	Fles	blank.jpg	noPic	absent	0	0	2	608
73	15_CFS3_logfile.txt	Ball	4_T_Ball.jpg	congruent	present	0	0	1	532
74	15_CFS3_logfile.txt	Bonbon	blank.jpg	noPic	absent	0	0	2	522
75	15_CFS3_logfile.txt	Spuitje	39_T_Crane.jpg	incongruent	present	0	0	2	692
76	15_CFS3_logfile.txt	Zweep	30_S_Brain.jpg	incongruent	present	0	0	1	599
77	15_CFS3_logfile.txt	Bonbon	36_T_Flute.jpg	incongruent	present	0	0	2	604
78	15_CFS3_logfile.txt	Hersens	17_T_Rocket.jpg	incongruent	present	0	0	2	638
79	15_CFS3_logfile.txt	Fluit	36_T_Flute.jpg	congruent	present	0	0	2	699
