Trial_nr	Outputfile	Prime	Target	Condition	Pic_Present_Absent	Picture_Time	Button_Time	Button_Pressed	RT
1	14_CFS3_logfile.txt	Bonbon	36_T_Flute.jpg	incongruent	present	0	0	2	1547
2	14_CFS3_logfile.txt	Kussen	blank.jpg	noPic	absent	0	0	2	1258
3	14_CFS3_logfile.txt	Vlinder	28_T_Butterfly.jpg	congruent	present	0	0	1	911
4	14_CFS3_logfile.txt	Kraan	38_T_Hark.jpg	incongruent	present	0	0	2	960
5	14_CFS3_logfile.txt	Kussen	28_T_Butterfly.jpg	incongruent	present	0	0	1	647
6	14_CFS3_logfile.txt	Fluit	blank.jpg	noPic	absent	0	0	2	638
7	14_CFS3_logfile.txt	Banaan	1_T_Banaan.jpg	congruent	present	0	0	1	494
8	14_CFS3_logfile.txt	Fles	blank.jpg	noPic	absent	0	0	2	633
9	14_CFS3_logfile.txt	Ball	blank.jpg	noPic	absent	0	0	1	908
10	14_CFS3_logfile.txt	Palm	blank.jpg	noPic	absent	0	0	2	637
11	14_CFS3_logfile.txt	Palm	blank.jpg	noPic	absent	0	0	2	511
12	14_CFS3_logfile.txt	Hersens	blank.jpg	noPic	absent	0	0	2	757
13	14_CFS3_logfile.txt	Spuitje	36_T_Flute.jpg	incongruent	present	0	0	2	712
14	14_CFS3_logfile.txt	Fles	blank.jpg	noPic	absent	0	0	2	795
15	14_CFS3_logfile.txt	Vlinder	blank.jpg	noPic	absent	0	0	2	753
16	14_CFS3_logfile.txt	Hark	32_T_Hat.jpg	incongruent	present	0	0	2	447
17	14_CFS3_logfile.txt	Bonbon	blank.jpg	noPic	absent	0	0	1	950
18	14_CFS3_logfile.txt	Bonbon	52_T_Bonbon.jpg	congruent	present	0	0	1	708
19	14_CFS3_logfile.txt	Kraan	51_Control.jpg	incongruent	present	0	0	1	707
20	14_CFS3_logfile.txt	Hark	blank.jpg	noPic	absent	0	0	2	806
21	14_CFS3_logfile.txt	Hersens	29_T_Whip.jpg	incongruent	present	0	0	2	756
22	14_CFS3_logfile.txt	Spuitje	39_T_Crane.jpg	incongruent	present	0	0	1	686
23	14_CFS3_logfile.txt	Raket	blank.jpg	noPic	absent	0	0	1	716
24	14_CFS3_logfile.txt	Palm	blank.jpg	noPic	absent	0	0	1	808
25	14_CFS3_logfile.txt	Vlinder	blank.jpg	noPic	absent	0	0	1	824
26	14_CFS3_logfile.txt	Fles	4_T_Ball.jpg	incongruent	present	0	0	1	683
27	14_CFS3_logfile.txt	Palm	blank.jpg	noPic	absent	0	0	2	1246
28	14_CFS3_logfile.txt	Hark	blank.jpg	noPic	absent	0	0	1	693
29	14_CFS3_logfile.txt	Pen	51_Control.jpg	incongruent	present	0	0	1	643
30	14_CFS3_logfile.txt	Hersens	blank.jpg	noPic	absent	0	0	2	738
31	14_CFS3_logfile.txt	Hark	38_T_Hark.jpg	congruent	present	0	0	1	726
32	14_CFS3_logfile.txt	Ball	8_T_Bottle.jpg	incongruent	present	0	0	1	673
33	14_CFS3_logfile.txt	Kussen	blank.jpg	noPic	absent	0	0	1	744
34	14_CFS3_logfile.txt	Bonbon	52_T_Bonbon.jpg	congruent	present	0	0	1	669
35	14_CFS3_logfile.txt	Palm	blank.jpg	noPic	absent	0	0	1	671
36	14_CFS3_logfile.txt	Vlinder	blank.jpg	noPic	absent	0	0	1	685
37	14_CFS3_logfile.txt	Fluit	blank.jpg	noPic	absent	0	0	1	751
38	14_CFS3_logfile.txt	Vlinder	28_T_Butterfly.jpg	congruent	present	0	0	1	512
39	14_CFS3_logfile.txt	Kraan	blank.jpg	noPic	absent	0	0	1	645
40	14_CFS3_logfile.txt	Hark	blank.jpg	noPic	absent	0	0	1	654
41	14_CFS3_logfile.txt	Raket	17_T_Rocket.jpg	incongruent	present	0	0	1	716
42	14_CFS3_logfile.txt	Ball	1_T_Banaan.jpg	incongruent	present	0	0	1	822
43	14_CFS3_logfile.txt	Spuitje	blank.jpg	noPic	absent	0	0	2	863
44	14_CFS3_logfile.txt	Raket	17_T_Rocket.jpg	congruent	present	0	0	2	700
45	14_CFS3_logfile.txt	Bonbon	blank.jpg	noPic	absent	0	0	1	613
46	14_CFS3_logfile.txt	Kraan	blank.jpg	noPic	absent	0	0	1	727
47	14_CFS3_logfile.txt	Raket	1_T_Banaan.jpg	incongruent	present	0	0	1	641
48	14_CFS3_logfile.txt	Palm	blank.jpg	noPic	absent	0	0	1	765
49	14_CFS3_logfile.txt	Hersens	blank.jpg	noPic	absent	0	0	1	872
50	14_CFS3_logfile.txt	Hersens	30_S_Brain.jpg	congruent	present	0	0	1	748
51	14_CFS3_logfile.txt	Kussen	blank.jpg	noPic	absent	0	0	1	1154
52	14_CFS3_logfile.txt	Pen	50_T_Pen.jpg	congruent	present	0	0	2	728
53	14_CFS3_logfile.txt	Bonbon	52_T_Bonbon.jpg	congruent	present	0	0	1	683
54	14_CFS3_logfile.txt	Pen	blank.jpg	noPic	absent	0	0	1	567
55	14_CFS3_logfile.txt	Kraan	39_T_Crane.jpg	congruent	present	0	0	1	883
56	14_CFS3_logfile.txt	Palm	51_Control.jpg	congruent	present	0	0	1	827
57	14_CFS3_logfile.txt	Kraan	blank.jpg	noPic	absent	0	0	1	872
58	14_CFS3_logfile.txt	Hersens	28_T_Butterfly.jpg	incongruent	present	0	0	1	800
59	14_CFS3_logfile.txt	Ball	12_T_Cushion.jpg	incongruent	present	0	0	1	731
60	14_CFS3_logfile.txt	Fles	1_T_Banaan.jpg	incongruent	present	0	0	1	679
61	14_CFS3_logfile.txt	Ball	blank.jpg	noPic	absent	0	0	1	715
62	14_CFS3_logfile.txt	Hark	38_T_Hark.jpg	congruent	present	0	0	1	534
63	14_CFS3_logfile.txt	Fles	blank.jpg	noPic	absent	0	0	1	663
64	14_CFS3_logfile.txt	Ball	blank.jpg	noPic	absent	0	0	1	744
65	14_CFS3_logfile.txt	Fluit	blank.jpg	noPic	absent	0	0	1	570
66	14_CFS3_logfile.txt	Fles	blank.jpg	noPic	absent	0	0	1	718
67	14_CFS3_logfile.txt	Raket	17_T_Rocket.jpg	congruent	present	0	0	1	566
68	14_CFS3_logfile.txt	Hoed	blank.jpg	noPic	absent	0	0	1	584
69	14_CFS3_logfile.txt	Fluit	36_T_Flute.jpg	congruent	present	0	0	1	571
70	14_CFS3_logfile.txt	Hersens	blank.jpg	noPic	absent	0	0	1	622
71	14_CFS3_logfile.txt	Banaan	29_T_Whip.jpg	incongruent	present	0	0	2	547
72	14_CFS3_logfile.txt	Raket	8_T_Bottle.jpg	incongruent	present	0	0	1	454
73	14_CFS3_logfile.txt	Vlinder	blank.jpg	noPic	absent	0	0	1	526
74	14_CFS3_logfile.txt	Hoed	blank.jpg	noPic	absent	0	0	2	567
75	14_CFS3_logfile.txt	Hoed	blank.jpg	noPic	absent	0	0	2	717
76	14_CFS3_logfile.txt	Kussen	12_T_Cushion.jpg	congruent	present	0	0	1	484
77	14_CFS3_logfile.txt	Hark	36_T_Flute.jpg	incongruent	present	0	0	1	492
78	14_CFS3_logfile.txt	Spuitje	blank.jpg	noPic	absent	0	0	1	722
79	14_CFS3_logfile.txt	Hersens	blank.jpg	noPic	absent	0	0	2	772
80	14_CFS3_logfile.txt	Kraan	39_T_Crane.jpg	congruent	present	0	0	1	757
81	14_CFS3_logfile.txt	Raket	blank.jpg	noPic	absent	0	0	1	764
82	14_CFS3_logfile.txt	Zweep	29_T_Whip.jpg	congruent	present	0	0	1	740
83	14_CFS3_logfile.txt	Vlinder	28_T_Butterfly.jpg	congruent	present	0	0	1	706
84	14_CFS3_logfile.txt	Zweep	blank.jpg	noPic	absent	0	0	2	809
85	14_CFS3_logfile.txt	spuitje	49_T_Injection.jpg	congruent	present	0	0	1	702
86	14_CFS3_logfile.txt	Kraan	blank.jpg	noPic	absent	0	0	2	748
87	14_CFS3_logfile.txt	Banaan	4_T_Ball.jpg	incongruent	present	0	0	1	707
88	14_CFS3_logfile.txt	Raket	blank.jpg	noPic	absent	0	0	2	722
89	14_CFS3_logfile.txt	Hersens	blank.jpg	noPic	absent	0	0	2	672
90	14_CFS3_logfile.txt	Palm	51_Control.jpg	congruent	present	0	0	1	539
91	14_CFS3_logfile.txt	Zweep	4_T_Ball.jpg	incongruent	present	0	0	1	801
92	14_CFS3_logfile.txt	Ball	blank.jpg	noPic	absent	0	0	1	898
93	14_CFS3_logfile.txt	Kussen	12_T_Cushion.jpg	congruent	present	0	0	1	654
94	14_CFS3_logfile.txt	Fles	8_T_Bottle.jpg	congruent	present	0	0	1	721
95	14_CFS3_logfile.txt	Raket	blank.jpg	noPic	absent	0	0	1	850
96	14_CFS3_logfile.txt	Vlinder	blank.jpg	noPic	absent	0	0	2	752
97	14_CFS3_logfile.txt	Hersens	30_S_Brain.jpg	congruent	present	0	0	1	587
98	14_CFS3_logfile.txt	spuitje	49_T_Injection.jpg	congruent	present	0	0	1	695
99	14_CFS3_logfile.txt	Kussen	12_T_Cushion.jpg	congruent	present	0	0	2	625
100	14_CFS3_logfile.txt	Pen	blank.jpg	noPic	absent	0	0	2	753
101	14_CFS3_logfile.txt	Kussen	blank.jpg	noPic	absent	0	0	1	802
