UserId,EventTag,TagValue1,TagValue2,EventMs,TagDate
16d39f423d4-5bc8-e2c8-ca26-7b35,StimulusImageShown,English_48_target,./static/4_u2_coffee machine.png,43375,2019-09-16 14:16:47.103
16d39f423d4-5bc8-e2c8-ca26-7b35,ObjectMismatch,English_48_target,logTimeStamp,44789,2019-09-16 14:16:48.517
16d39f423d4-5bc8-e2c8-ca26-7b35,StimulusImageShown,English_108_catch,./static/98_u1_rice.png,45062,2019-09-16 14:16:48.79
16d39f423d4-5bc8-e2c8-ca26-7b35,DontKnowWord,English_108_catch,logTimeStamp,47046,2019-09-16 14:16:50.774
16d39f423d4-5bc8-e2c8-ca26-7b35,StimulusImageShown,English_41_target,./static/94_u1_shark.png,47090,2019-09-16 14:16:50.818
16d39f423d4-5bc8-e2c8-ca26-7b35,DontKnowWord,English_41_target,logTimeStamp,48440,2019-09-16 14:16:52.168
16d39f423d4-5bc8-e2c8-ca26-7b35,StimulusImageShown,English_97_target,./static/100_sem_riding helmet.png,48482,2019-09-16 14:16:52.21
16d39f423d4-5bc8-e2c8-ca26-7b35,DontKnowWord,English_97_target,logTimeStamp,49937,2019-09-16 14:16:53.665
16d39f423d4-5bc8-e2c8-ca26-7b35,StimulusImageShown,English_83_target,./static/73_u2_shopping cart.png,49987,2019-09-16 14:16:53.715
16d39f423d4-5bc8-e2c8-ca26-7b35,RatingButton,English_83_target,7,53394,2019-09-16 14:16:57.122
16d39f423d4-5bc8-e2c8-ca26-7b35,StimulusImageShown,English_54_target,./static/14_sem_measuring tape.png,53437,2019-09-16 14:16:57.165
16d39f423d4-5bc8-e2c8-ca26-7b35,RatingButton,English_54_target,3,54890,2019-09-16 14:16:58.618
16d39f423d4-5bc8-e2c8-ca26-7b35,StimulusImageShown,English_26_target,./static/62_u2_desk.png,54941,2019-09-16 14:16:58.669
16d39f423d4-5bc8-e2c8-ca26-7b35,RatingButton,English_26_target,6,56892,2019-09-16 14:17:00.62
16d39f423d4-5bc8-e2c8-ca26-7b35,StimulusImageShown,English_107_catch,./static/98_sem_caterpillar.png,56941,2019-09-16 14:17:00.669
16d39f423d4-5bc8-e2c8-ca26-7b35,RatingButton,English_107_catch,5,58166,2019-09-16 14:17:01.894
16d39f423d4-5bc8-e2c8-ca26-7b35,StimulusImageShown,English_39_target,./static/93_sem_teeth.png,58228,2019-09-16 14:17:01.956
16d39f423d4-5bc8-e2c8-ca26-7b35,RatingButton,English_39_target,1,59574,2019-09-16 14:17:03.302
16d39f423d4-5bc8-e2c8-ca26-7b35,StimulusImageShown,English_78_target,./static/60_u1_safety pins.png,59631,2019-09-16 14:17:03.359
16d39f423d4-5bc8-e2c8-ca26-7b35,RatingButton,English_78_target,4,61081,2019-09-16 14:17:04.809
16d39f423d4-5bc8-e2c8-ca26-7b35,StimulusImageShown,English_77_target,./static/60_sem_rain boots.png,61143,2019-09-16 14:17:04.871
16d39f423d4-5bc8-e2c8-ca26-7b35,RatingButton,English_77_target,2,62562,2019-09-16 14:17:06.29
16d39f423d4-5bc8-e2c8-ca26-7b35,StimulusImageShown,English_99_catch,./static/90_u2_crutch.png,62601,2019-09-16 14:17:06.329
16d39f423d4-5bc8-e2c8-ca26-7b35,RatingButton,English_99_catch,4,66165,2019-09-16 14:17:09.893
16d39f423d4-5bc8-e2c8-ca26-7b35,StimulusImageShown,English_101_catch,./static/91_vis_blackboard.png,66212,2019-09-16 14:17:09.94
16d39f423d4-5bc8-e2c8-ca26-7b35,RatingButton,English_101_catch,4,67918,2019-09-16 14:17:11.646
16d39f423d4-5bc8-e2c8-ca26-7b35,StimulusImageShown,English_51_target,./static/6_sem_soccer shoes.png,67971,2019-09-16 14:17:11.699
16d39f423d4-5bc8-e2c8-ca26-7b35,RatingButton,English_51_target,4,69044,2019-09-16 14:17:12.772
16d39f423d4-5bc8-e2c8-ca26-7b35,StimulusImageShown,English_32_target,./static/74_u2_package.png,69105,2019-09-16 14:17:12.833
16d39f423d4-5bc8-e2c8-ca26-7b35,ObjectMismatch,English_32_target,logTimeStamp,70551,2019-09-16 14:17:14.279
16d39f423d4-5bc8-e2c8-ca26-7b35,StimulusImageShown,English_22_target,./static/54_vis_tray.png,70599,2019-09-16 14:17:14.327
16d39f423d4-5bc8-e2c8-ca26-7b35,DontKnowWord,English_22_target,logTimeStamp,72519,2019-09-16 14:17:16.247
16d39f423d4-5bc8-e2c8-ca26-7b35,StimulusImageShown,English_70_target,./static/38_vis_band aid.png,72558,2019-09-16 14:17:16.286
16d39f423d4-5bc8-e2c8-ca26-7b35,RatingButton,English_70_target,4,74096,2019-09-16 14:17:17.824
16d39f423d4-5bc8-e2c8-ca26-7b35,StimulusImageShown,English_52_target,./static/7_u1_cheese slicer.png,74272,2019-09-16 14:17:18.0
16d39f423d4-5bc8-e2c8-ca26-7b35,RatingButton,English_52_target,4,76183,2019-09-16 14:17:19.911
16d39f423d4-5bc8-e2c8-ca26-7b35,StimulusImageShown,English_20_target,./static/45_u2_bag.png,76234,2019-09-16 14:17:19.962
16d39f423d4-5bc8-e2c8-ca26-7b35,RatingButton,English_20_target,4,77972,2019-09-16 14:17:21.7
16d39f423d4-5bc8-e2c8-ca26-7b35,StimulusImageShown,English_113_catch,./static/100_u1_binoculars.png,78020,2019-09-16 14:17:21.748
16d39f423d4-5bc8-e2c8-ca26-7b35,RatingButton,English_113_catch,4,79689,2019-09-16 14:17:23.417
16d39f423d4-5bc8-e2c8-ca26-7b35,StimulusImageShown,English_66_target,./static/32_sem_cement truck.png,79741,2019-09-16 14:17:23.469
16d39f423d4-5bc8-e2c8-ca26-7b35,RatingButton,English_66_target,4,81429,2019-09-16 14:17:25.157
16d39f423d4-5bc8-e2c8-ca26-7b35,StimulusImageShown,English_23_target,./static/56_vis_globe.png,81495,2019-09-16 14:17:25.223
16d39f423d4-5bc8-e2c8-ca26-7b35,RatingButton,English_23_target,4,82926,2019-09-16 14:17:26.654
16d39f423d4-5bc8-e2c8-ca26-7b35,StimulusImageShown,English_50_target,./static/5_u1_ice skate.png,82979,2019-09-16 14:17:26.707
16d39f423d4-5bc8-e2c8-ca26-7b35,RatingButton,English_50_target,4,84692,2019-09-16 14:17:28.42
16d39f423d4-5bc8-e2c8-ca26-7b35,StimulusImageShown,English_31_target,./static/74_sem_cap.png,84750,2019-09-16 14:17:28.478
16d39f423d4-5bc8-e2c8-ca26-7b35,RatingButton,English_31_target,4,86385,2019-09-16 14:17:30.113
16d39f423d4-5bc8-e2c8-ca26-7b35,StimulusImageShown,English_37_target,./static/87_u1_flower.png,86442,2019-09-16 14:17:30.17
