item_id;object_name;pic_file;Response;Score;Comment;originalOrder
31;CAP;74_sem_cap.png;helm;2;;117
31;CAP;74_sem_cap.png;hoed;3;not specific enough;118
31;CAP;74_sem_cap.png;kap;3;;119
31;CAP;74_sem_cap.png;pet;1;;120
32;PACKAGE;74_u2_package.png;bagage;3;;121
32;PACKAGE;74_u2_package.png;doos;3;not specific enough;122
32;PACKAGE;74_u2_package.png;pakje;1;;123
32;PACKAGE;74_u2_package.png;pakket;1;;124
32;PACKAGE;74_u2_package.png;pakketje;1;;125
33;IRON;74_vis_iron.png;ijzer;2;;126
33;IRON;74_vis_iron.png;iron;0;did not translate;127
33;IRON;74_vis_iron.png;staal;3;;128
33;IRON;74_vis_iron.png;stijkijzer;1;spelling mistake;129
33;IRON;74_vis_iron.png;strijkijzer;1;;130
34;JACKET;80_u2_jacket.png;jas;1;;131
34;JACKET;80_u2_jacket.png;jasje;1;;132
34;JACKET;80_u2_jacket.png;vestje;3;;133
35;ROPE;82_vis_rope.png;touw;1;;134
36;HORSE;86_sem_horse.png;paard;1;;135
36;HORSE;86_sem_horse.png;paars;1;spelling mistake;136
37;FLOWER;87_u1_flower.png;bloem;1;;137
38;SPOON;92_sem_spoon.png;lepel;1;;138
39;TEETH;93_sem_teeth.png;tand;1;singular provided i.s.o. plural;139
39;TEETH;93_sem_teeth.png;tanden;1;;140
40;CHERRY;7_vis_cherry.png;bes;3;;141
40;CHERRY;7_vis_cherry.png;kers;1;;142
41;SHARK;94_u1_shark.png;haai;1;;143
42;SLIDE;94_u2_slide.png;dia;2;;144
42;SLIDE;94_u2_slide.png;glijbaan;1;;145
42;SLIDE;94_u2_slide.png;glijden/dia;"2;2";;146
42;SLIDE;94_u2_slide.png;plaatje;2;;147
42;SLIDE;94_u2_slide.png;slee;3;;148
42;SLIDE;94_u2_slide.png;stukje;3;;149
42;SLIDE;94_u2_slide.png;vegen;3;;150
43;LOBSTER;95_sem_lobster.png;krab;3;;151
43;LOBSTER;95_sem_lobster.png;kreeft;1;;152
44;SAUSAGE;97_u1_sausage.png;worst;1;;153
44;SAUSAGE;97_u1_sausage.png;worstje;1;;154
45;LOCK;98_u2_lock.png;slot;1;;155
46;CROSS;97_vis_cross.png;cross;0;did not translate;156
46;CROSS;97_vis_cross.png;kruis;1;;157
46;CROSS;97_vis_cross.png;oversteken;2;;158
47;BASEBALL GLOVE;3_u1_baseball glove.png;basebalhandschoen;1;spelling mistake;159
47;BASEBALL GLOVE;3_u1_baseball glove.png;baseball handschoen;1;spelling mistake;160
47;BASEBALL GLOVE;3_u1_baseball glove.png;basketbal handschoen;3;"partly correct; spelling mistake";161
47;BASEBALL GLOVE;3_u1_baseball glove.png;basketbalhandschoen;3;partly correct;162
47;BASEBALL GLOVE;3_u1_baseball glove.png;handbalhandschoen;3;partly correct;163
47;BASEBALL GLOVE;3_u1_baseball glove.png;handbalhandschoenen;3;"partly correct; plural provided i.s.o. singular";164
47;BASEBALL GLOVE;3_u1_baseball glove.png;honkbal handschoen;1;spelling mistake;165
47;BASEBALL GLOVE;3_u1_baseball glove.png;honkbalhandschoen;1;;166
47;BASEBALL GLOVE;3_u1_baseball glove.png;pet;3;;167
47;BASEBALL GLOVE;3_u1_baseball glove.png;slagbalhandschoen;1;partly correct;168
47;BASEBALL GLOVE;3_u1_baseball glove.png;softbal handschoen;1;"partly correct; spelling mistake";169
47;BASEBALL GLOVE;3_u1_baseball glove.png;softbalhandschoen;1;partly correct;170
48;COFFEE MACHINE;4_u2_coffee machine.png;koffieapparaat;1;;171
48;COFFEE MACHINE;4_u2_coffee machine.png;koffiemachine;1;;172
48;COFFEE MACHINE;4_u2_coffee machine.png;koffiemachine/koffiezetapparaat;"1;1";;173
48;COFFEE MACHINE;4_u2_coffee machine.png;koffiezet apparaat;1;spelling mistake;174
48;COFFEE MACHINE;4_u2_coffee machine.png;koffiezetapparaat;1;;175
49;HOT WATER BOTTLE;4_vis_hot water bottle.png;heet waterfles;3;too literal;176
49;HOT WATER BOTTLE;4_vis_hot water bottle.png;kruik;1;;177
49;HOT WATER BOTTLE;4_vis_hot water bottle.png;theekan;3;;178
49;HOT WATER BOTTLE;4_vis_hot water bottle.png;warmte fles;3;too literal;179
49;HOT WATER BOTTLE;4_vis_hot water bottle.png;waterfles;3;too literal;180
49;HOT WATER BOTTLE;4_vis_hot water bottle.png;waterflesje;3;too literal;181
49;HOT WATER BOTTLE;4_vis_hot water bottle.png;waterkoker;3;;182
50;ICE SKATE;5_u1_ice skate.png;ijsschaatsen;1;bit strange;183
50;ICE SKATE;5_u1_ice skate.png;rolschaatsen;3;;184
50;ICE SKATE;5_u1_ice skate.png;schaats;1;;185
50;ICE SKATE;5_u1_ice skate.png;schaatsen;1;plural provided i.s.o. singular ;186
